title,salary,hinhthuc,capbac,gender,ex,add,keyword,link
,"Tới 2,500 USD",Toàn thời gian,Nhân viên,Không yêu cầu,5 năm,Hà Nội,,
Tuyển Trưởng Phòng Nhân Sự - Thu Nhập Từ 30 Đến 40 Triệu - Hồ Chí Minh,30-40 triệu,Toàn thời gian,Trưởng/Phó phòng,Không yêu cầu,4 năm,Hồ Chí Minh,"Nhân sự,Biên / Phiên dịch,Quản lý điều hành",https://www.topcv.vn/viec-lam/truong-phong-nhan-su-thu-nhap-tu-30-den-40-trieu-ho-chi-minh/796574.html
Tuyển Nhân Viên SEO Content Writer - Làm Việc Online Tại Nhà (Nhận Việc Ngay),7-11 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,Dưới 1 năm,Hà Nội,"Marketing / Truyền thông / Quảng cáo,Báo chí / Truyền hình,Ngành nghề khác",https://www.topcv.vn/viec-lam/nhan-vien-seo-content-writer-lam-viec-online-tai-nha-nhan-viec-ngay/808203.html
Tuyển Chuyên Viên Nhân Sự Chuyên Đánh Giá Năng Lực Nội Bộ,Trên 11 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,2 năm,Hồ Chí Minh,"Nhân sự,Quản lý điều hành",https://www.topcv.vn/viec-lam/chuyen-vien-nhan-su-chuyen-danh-gia-nang-luc-noi-bo/800185.html
Tuyển Nhân Viên Tư Vấn CSKH Tại Văn Phòng - Lương Cứng Lên Đến 10 Triệu - Không Yêu Cầu Kinh Nghiệm (Tân Bình),8-10 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,Không yêu cầu kinh nghiệm,Hồ Chí Minh,"Tư vấn,Kinh doanh / Bán hàng,Bất động sản",https://www.topcv.vn/viec-lam/nhan-vien-tu-van-cskh-tai-van-phong-luong-cung-len-den-10-trieu-khong-yeu-cau-kinh-nghiem-tan-binh/812019.html
Tuyển Kiến Trúc Sư Quy Hoạch (Hà Nội),12-25 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,Hà Nội,"Kinh doanh / Bán hàng,Xây dựng,Kiến trúc",https://www.topcv.vn/viec-lam/kien-truc-su-quy-hoach-ha-noi/525389.html
Tuyển Nhân Viên Tư Vấn Khách Hàng - Không Tìm Data - Lương Từ 10Tr,Trên 10 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,Hồ Chí Minh,"Kinh doanh / Bán hàng,Marketing / Truyền thông / Quảng cáo,Bán lẻ / bán sỉ",https://www.topcv.vn/viec-lam/nhan-vien-tu-van-khach-hang-khong-tim-data-luong-tu-10tr/801191.html
Tuyển Nhân Viên Kinh Doanh (Thu Nhập 10-30 Triệu),10-30 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,Không yêu cầu kinh nghiệm,Hà Nội,"Kinh doanh / Bán hàng,Hoá học / Sinh học,Marketing / Truyền thông / Quảng cáo",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-thu-nhap-10-30-trieu/802048.html
Tuyển Nhân Viên Kiến Trúc Sư Đi Làm Ngay Lương Cứng Lên Đến 20 Triệu + Thưởng,Thoả thuận,Toàn thời gian,Nhân viên,Không yêu cầu,Không yêu cầu kinh nghiệm,Hà Nội,"Kiến trúc,Thiết kế đồ họa,Thiết kế nội thất",https://www.topcv.vn/viec-lam/nhan-vien-kien-truc-su-di-lam-ngay-luong-cung-len-den-20-trieu-thuong/798504.html
Tuyển Data Manager Night Shift (Kỹ Sư Phân Tích Dữ Liệu Mảng Xây Dựng) - Thu Nhập Upto 1000$,"Tới 1,000 USD",Toàn thời gian,Nhân viên,Không yêu cầu,Không yêu cầu kinh nghiệm,Hà Nội,"Công nghệ thông tin,Xây dựng,Kiến trúc",https://www.topcv.vn/viec-lam/data-manager-night-shift-ky-su-phan-tich-du-lieu-mang-xay-dung-thu-nhap-upto-1000/809810.html
Tuyển Nhân Viên Kinh Doanh Hàng Nhật Nội Địa (Ngành Thực Phẩm),10-20 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,Hà Nội,"Kinh doanh / Bán hàng,Hành chính / Văn phòng,Tư vấn",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-hang-nhat-noi-dia-nganh-thuc-pham/804466.html
"Tuyển Chuyên Viên Kinh Doanh, Lương Cứng 15 Triệu + Hoa Hồng",15-20 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,Không yêu cầu kinh nghiệm,Hà Nội,"Kinh doanh / Bán hàng,Dịch vụ khách hàng,Bán lẻ / bán sỉ",https://www.topcv.vn/viec-lam/chuyen-vien-kinh-doanh-luong-cung-15-trieu-hoa-hong/790046.html
Tuyển Chuyên Viên Nội Dung (Content Writer),Trên 15 triệu,Toàn thời gian,Nhân viên,Nam,1 năm,Hà Nội,"Marketing / Truyền thông / Quảng cáo,Báo chí / Truyền hình,Dịch vụ khách hàng",https://www.topcv.vn/viec-lam/chuyen-vien-noi-dung-content-writer/784296.html
"Tuyển Nhân Viên Tư Vấn Đầu Tư Tài Chính (Forex) - (Nghỉ Thứ 7, Chủ Nhật) -Tại Bình Thạnh",Trên 11 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,Hồ Chí Minh,"Kinh doanh / Bán hàng,Chứng khoán / Vàng / Ngoại tệ,Tư vấn",https://www.topcv.vn/viec-lam/nhan-vien-tu-van-dau-tu-tai-chinh-forex-nghi-thu-7-chu-nhat-tai-binh-thanh/796996.html
Tuyển Nhân Viên Sale Admin,Trên 8 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,Dưới 1 năm,Hà Nội,"Kinh doanh / Bán hàng,Dịch vụ khách hàng,Hành chính / Văn phòng",https://www.topcv.vn/viec-lam/nhan-vien-sale-admin/813058.html
Tuyển Chăm Sóc Khách Hàng (10 - 15 Triệu),10-15 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,Không yêu cầu kinh nghiệm,Hà Nội,"Kinh doanh / Bán hàng,Bảo hiểm,Tư vấn",https://www.topcv.vn/viec-lam/cham-soc-khach-hang-10-15-trieu/774057.html
Tuyển Trưởng Nhóm Kinh Doanh (Thu Nhập > 25 Triệu/ Tháng),Tới 50 triệu,Toàn thời gian,Trưởng nhóm,Không yêu cầu,2 năm,Nghệ An,"Kinh doanh / Bán hàng,Marketing / Truyền thông / Quảng cáo,Bán lẻ / bán sỉ",https://www.topcv.vn/viec-lam/truong-nhom-kinh-doanh-thu-nhap-25-trieu-thang/813735.html
Tuyển Chuyên Viên Marketing - Lương Cạnh Tranh (Hồ Chí Minh),Thoả thuận,Toàn thời gian,Nhân viên,Không yêu cầu,Không yêu cầu kinh nghiệm,Hồ Chí Minh,Marketing / Truyền thông / Quảng cáo,https://www.topcv.vn/viec-lam/chuyen-vien-marketing-luong-canh-tranh-ho-chi-minh/795092.html
Tuyển Chuyên Viên IT Helpdesk,12-14 triệu,Toàn thời gian,Nhân viên,Nam,3 năm,Hà Nội,"IT Phần cứng / Mạng,Điện tử viễn thông,IT phần mềm,Việc làm IT",https://www.topcv.vn/viec-lam/chuyen-vien-it-helpdesk/813016.html
Tuyển Nhân Viên Tư Vấn (Educational Consultant),12-17 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,Hồ Chí Minh,"Tư vấn,Dịch vụ khách hàng,Giáo dục / Đào tạo",https://www.topcv.vn/viec-lam/nhan-vien-tu-van-educational-consultant/812423.html
Tuyển Nhân Viên Kinh Doanh Dự Án (Sales B2B),10-40 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,2 năm,Hồ Chí Minh,"Kinh doanh / Bán hàng,Xây dựng,Bán hàng kỹ thuật",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-du-an-sales-b2b/805747.html
Tuyển Nhân Viên Tester Từ 1 Năm Kinh Nghiệm,Trên 10 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,Hà Nội,"IT phần mềm,IT Phần cứng / Mạng,Việc làm IT",https://www.topcv.vn/viec-lam/nhan-vien-tester-tu-1-nam-kinh-nghiem/808560.html
Tuyển Sale Admin - Tư Vấn Xuất Khẩu Lao Động,Trên 8 triệu,Toàn thời gian,Nhân viên,Nữ,Không yêu cầu kinh nghiệm,Hà Nội,"Tư vấn,Kinh doanh / Bán hàng,Hành chính / Văn phòng",https://www.topcv.vn/viec-lam/sale-admin-tu-van-xuat-khau-lao-dong/798352.html
Tuyển Nhân Viên Xử Lý Hồ Sơ Và Dịch Thuật,8-20 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,Không yêu cầu kinh nghiệm,Hà Nội,"Biên / Phiên dịch,Giáo dục / Đào tạo,Luật/Pháp lý",https://www.topcv.vn/viec-lam/nhan-vien-xu-ly-ho-so-va-dich-thuat/810537.html
Tuyển Nhân Viên Kinh Doanh Logistics Thu Nhập Từ 8-20 Triệu,8-20 triệu,Toàn thời gian,Nhân viên,Nữ,Dưới 1 năm,Hồ Chí Minh,"Logistics,Kinh doanh / Bán hàng,Vận tải / Kho vận",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-logistics-thu-nhap-tu-8-20-trieu/810908.html
Tuyển Nhân Viên Kinh Doanh Phụ Gia Thức Ăn Chăn Nuôi,Tới 20 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,Hồ Chí Minh,"Nông / Lâm / Ngư nghiệp,Kinh doanh / Bán hàng,Dược phẩm / Công nghệ sinh học",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-phu-gia-thuc-an-chan-nuoi/810933.html
"Tuyển Nhân Viên Quay, Dựng Video - Thiết Kế Hình Ảnh (Lương Hấp Dẫn)",Thoả thuận,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,Hà Nội,"Mỹ thuật / Nghệ thuật / Điện ảnh,Báo chí / Truyền hình,Marketing / Truyền thông / Quảng cáo",https://www.topcv.vn/viec-lam/nhan-vien-quay-dung-video-thiet-ke-hinh-anh-luong-hap-dan/801669.html
,7-15 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,Hồ Chí Minh,,
"Tuyển Nhân Viên Kinh Doanh Lương Cứng Từ 7,5 Triệu ( Thu Nhập Upto 40 Triệu )",15-40 triệu,Toàn thời gian,Nhân viên,Nam,Dưới 1 năm,Hồ Chí Minh,"Kinh doanh / Bán hàng,Bán hàng kỹ thuật,Bảo trì / Sữa chữa",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-luong-cung-tu-7-5-trieu-thu-nhap-upto-40-trieu/594488.html
Tuyển Nhân Viên Kỹ Thuật Điện Công Nghiệp Tại Lâm Đồng,6-10 triệu,Toàn thời gian,Nhân viên,Nam,1 năm,Lâm Đồng,"Điện / Điện tử / Điện lạnh,Bảo trì / Sữa chữa,Ngành nghề khác",https://www.topcv.vn/viec-lam/nhan-vien-ky-thuat-dien-cong-nghiep-tai-lam-dong/784434.html
Tuyển Nhân Viên Phục Vụ - Biết Tiếng Anh Giao Tiếp,Trên 8 triệu,Toàn thời gian,Nhân viên,Nữ,Không yêu cầu kinh nghiệm,Vũng Tàu,"Dịch vụ khách hàng,Du lịch,Hành chính / Văn phòng",https://www.topcv.vn/viec-lam/nhan-vien-phuc-vu-biet-tieng-anh-giao-tiep/808694.html
Tuyển Nhân Viên Tư Vấn Tại Hồ Chí Minh,8-15 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,Hồ Chí Minh,"Kinh doanh / Bán hàng,Hành chính / Văn phòng,Tư vấn",https://www.topcv.vn/viec-lam/nhan-vien-tu-van-tai-ho-chi-minh/804485.html
Tuyển Chuyên Viên Phát Triển Khách Hàng Cá Nhân (Rm) - Rb - MSB - 2H099,Thoả thuận,Toàn thời gian,Nhân viên,Không yêu cầu,Dưới 1 năm,Hồ Chí Minh,"Ngân hàng / Tài chính,Kinh doanh / Bán hàng,Tư vấn",https://www.topcv.vn/viec-lam/chuyen-vien-phat-trien-khach-hang-ca-nhan-rm-rb-msb-2h099/805367.html
Tuyển Trưởng Phòng Vật Tư (Biết Tiếng Hoa Hoặc Tiếng Anh) - Tại Đồng Nai,15-20 triệu,Toàn thời gian,Trưởng/Phó phòng,Không yêu cầu,2 năm,Đồng Nai,"Cơ khí / Chế tạo / Tự động hóa,Sản xuất",https://www.topcv.vn/viec-lam/truong-phong-vat-tu-biet-tieng-hoa-hoac-tieng-anh-tai-dong-nai/799569.html
,9-12 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,Dưới 1 năm,Hà Nội,,
Tuyển Thực Tập Sinh Kinh Doanh HCM - HN,Thoả thuận,Toàn thời gian,Nhân viên,Không yêu cầu,Không yêu cầu kinh nghiệm,Hồ Chí Minh,"Kinh doanh / Bán hàng,Hành chính / Văn phòng,Tài chính / Đầu tư",https://www.topcv.vn/viec-lam/thuc-tap-sinh-kinh-doanh-hcm-hn/801850.html
Tuyển Nhân Viên Facebook Ads,15-20 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,Dưới 1 năm,Hồ Chí Minh,Marketing / Truyền thông / Quảng cáo,https://www.topcv.vn/viec-lam/nhan-vien-facebook-ads/809937.html
Tuyển Chuyên Viên Tư Vấn Tuyển Sinh Thu Nhập Từ 15 - 20 Triệu,Tới 20 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,Không yêu cầu kinh nghiệm,Hà Nội,"Kinh doanh / Bán hàng,Giáo dục / Đào tạo,Tư vấn",https://www.topcv.vn/viec-lam/chuyen-vien-tu-van-tuyen-sinh-thu-nhap-tu-15-20-trieu/808276.html
Tuyển Nhân Viên Trực Tổng Đài Momo,7-8 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,Không yêu cầu kinh nghiệm,Hồ Chí Minh,"Dịch vụ khách hàng,Tư vấn,Ngành nghề khác",https://www.topcv.vn/viec-lam/nhan-vien-truc-tong-dai-momo/806215.html
Tuyển Nhân Viên Kinh Doanh Bất Động Sản,10-30 triệu,Bán thời gian,Nhân viên,Không yêu cầu,Không yêu cầu kinh nghiệm,Thái Bình,"Bất động sản,Kinh doanh / Bán hàng",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-bat-dong-san/812197.html
Tuyển Nhân Viên Kế Toán Nội Bộ Thu Nhập Upto 10 Triệu - Không Yêu Cầu Kinh Nghiệm,7-10 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,Không yêu cầu kinh nghiệm,Hà Nội,"Kế toán / Kiểm toán,Hành chính / Văn phòng,Ngân hàng / Tài chính",https://www.topcv.vn/viec-lam/nhan-vien-ke-toan-noi-bo-thu-nhap-upto-10-trieu-khong-yeu-cau-kinh-nghiem/808525.html
Tuyển Nhân Viên Bán Hàng Nội Thất (Lương Từ 8 Triệu Trở Lên),8-15 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,Dưới 1 năm,Hồ Chí Minh,"Kinh doanh / Bán hàng,Tư vấn,Thiết kế nội thất",https://www.topcv.vn/viec-lam/nhan-vien-ban-hang-noi-that-luong-tu-8-trieu-tro-len/759802.html
Tuyển Kỹ Sư Giám Sát Xây Dựng - Thu Nhập Hấp Dẫn,12-15 triệu,Toàn thời gian,Quản lý / Giám sát,Nam,3 năm,Hồ Chí Minh,"Xây dựng,Hoạch định/Dự án,Kiến trúc",https://www.topcv.vn/viec-lam/ky-su-giam-sat-xay-dung-thu-nhap-hap-dan/811301.html
Tuyển Trưởng Phòng Kinh Doanh(Giáo Dục/Đào Tạo) Tại Hà Nội (Lương Cứng 12 -20 Triệu + Pc 40K/Ngày + Hh),12-20 triệu,Toàn thời gian,Trưởng nhóm,Không yêu cầu,1 năm,Hà Nội,"Kinh doanh / Bán hàng,Giáo dục / Đào tạo,Tư vấn",https://www.topcv.vn/viec-lam/truong-phong-kinh-doanhgiao-duc-dao-tao-tai-ha-noi-luong-cung-12-20-trieu-pc-40k-ngay-hh/802261.html
Tuyển Chuyên Viên Du Lịch (Lương Cơ Bản 10 Triệu),7-10 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,Dưới 1 năm,Hà Nội,"Du lịch,Marketing / Truyền thông / Quảng cáo,Tư vấn",https://www.topcv.vn/viec-lam/chuyen-vien-du-lich-luong-co-ban-10-trieu/799861.html
Tuyển Media Leader ( Local Brand ),12-16 triệu,Toàn thời gian,Trưởng nhóm,Không yêu cầu,2 năm,Hồ Chí Minh,"Marketing / Truyền thông / Quảng cáo,Báo chí / Truyền hình,Thời trang",https://www.topcv.vn/viec-lam/media-leader-local-brand/806149.html
"Tuyển Nhân Viên Kinh Doanh Tư Vấn Đầu Tư BĐS (Không Yêu Cầu Kinh Nghiệm, Được Đào Tạo Chuyên Môn)",Trên 50 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,Không yêu cầu kinh nghiệm,Hồ Chí Minh,"Bất động sản,Kinh doanh / Bán hàng,Hành chính / Văn phòng",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-tu-van-dau-tu-bds-khong-yeu-cau-kinh-nghiem-duoc-dao-tao-chuyen-mon/812479.html
Tuyển Kỹ Sư Qs/ Kỹ Sư Dự Toán,Thoả thuận,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,Hồ Chí Minh,"Quản lý chất lượng (QA/QC),Xây dựng,Thiết kế nội thất",https://www.topcv.vn/viec-lam/ky-su-qs-ky-su-du-toan/807084.html
"Tuyển Nhân Viên Kinh Doanh B2B Tại Hà Nội Và Hồ Chí Minh - Thu Nhập Từ 15 - 20M, Làm Việc Từ Thứ 2- Thứ 6",10-20 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,Dưới 1 năm,Hồ Chí Minh,"Kinh doanh / Bán hàng,Dịch vụ khách hàng,Tư vấn",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-b2b-tai-ha-noi-va-ho-chi-minh-thu-nhap-tu-15-20m-lam-viec-tu-thu-2-thu-6/802305.html
Tuyển Nhân Viên Kinh Doanh - Lương Thực Nhận Trên 10 Triệu - Data Có Sẵn (Khu Vực Thanh Xuân-Hà Nội),10-20 triệu,Toàn thời gian,Nhân viên,Nữ,1 năm,Hà Nội,"Kinh doanh / Bán hàng,Bán lẻ / bán sỉ",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-luong-thuc-nhan-tren-10-trieu-data-co-san-khu-vuc-thanh-xuan-ha-noi/812863.html
Tuyển Nhân Viên Kinh Doanh Làm Việc Tại Văn Phòng ( Thu Nhập Đến 20 Triệu ),6-20 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,Không yêu cầu kinh nghiệm,Hồ Chí Minh,"Kinh doanh / Bán hàng,Dịch vụ khách hàng,Tư vấn",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-lam-viec-tai-van-phong-thu-nhap-den-20-trieu/794644.html
"Tuyển Nhân Viên Tư Vấn (Telesales) Lương Cứng Lên Đến 9,5 Triệu",Tới 9.5 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,Không yêu cầu kinh nghiệm,Hà Nội,"Kinh doanh / Bán hàng,Dịch vụ khách hàng,Tư vấn",https://www.topcv.vn/viec-lam/nhan-vien-tu-van-telesales-luong-cung-len-den-9-5-trieu/811012.html
Tuyển Hành Chính Nhân Sự - Nữ,Thoả thuận,Toàn thời gian,Trưởng nhóm,Nữ,3 năm,Hà Nội,"Nhân sự,Hành chính / Văn phòng",https://www.topcv.vn/viec-lam/hanh-chinh-nhan-su-nu/769691.html
Tuyển Nhân Viên SEO,8-15 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,Hà Nội,"Marketing / Truyền thông / Quảng cáo,Y tế / Dược",https://www.topcv.vn/viec-lam/nhan-vien-seo/796611.html
Tuyển Kế Toán Bán Hàng Kiêm Kho,8-15 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,Hồ Chí Minh,"Kế toán / Kiểm toán,Điện / Điện tử / Điện lạnh,Vận tải / Kho vận",https://www.topcv.vn/viec-lam/ke-toan-ban-hang-kiem-kho/808073.html
Tuyển Chuyên Viên Nhân Sự Tổng Hợp Lương Cứng Upto 12 Triệu + Thưởng Kpi,8-12 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,2 năm,Hà Nội,"Nhân sự,Kinh doanh / Bán hàng,Hành chính / Văn phòng",https://www.topcv.vn/viec-lam/chuyen-vien-nhan-su-tong-hop-luong-cung-upto-12-trieu-thuong-kpi/809852.html
"Tuyển MC Quay Video Tại Phòng Thu + Edit Video, Lương Từ 8 - 15Tr (Làm Tốt Hưởng Cả Phần Trăm Về Doanh Thu)",Tới 15 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,Không yêu cầu kinh nghiệm,Hà Nội,"Mỹ thuật / Nghệ thuật / Điện ảnh,Báo chí / Truyền hình,Marketing / Truyền thông / Quảng cáo",https://www.topcv.vn/viec-lam/mc-quay-video-tai-phong-thu-edit-video-luong-tu-8-15tr-lam-tot-huong-ca-phan-tram-ve-doanh-thu/804624.html
Tuyển Nhân Viên Kế Toán - Bán Hàng (Vật Liệu Nội Thất) Lương Cứng Từ 7 Triệu,Trên 7 triệu,Toàn thời gian,Nhân viên,Nữ,Dưới 1 năm,Hà Nội,"Kế toán / Kiểm toán,Hành chính / Văn phòng,Ngân hàng / Tài chính",https://www.topcv.vn/viec-lam/nhan-vien-ke-toan-ban-hang-vat-lieu-noi-that-luong-cung-tu-7-trieu/793858.html
Tuyển Sales Manager(Trưởng Phòng Kinh Doanh),25-50 triệu,Toàn thời gian,Quản lý / Giám sát,Không yêu cầu,1 năm,Thanh Hoá,"Bảo hiểm,Kinh doanh / Bán hàng,Nhân sự",https://www.topcv.vn/viec-lam/sales-managertruong-phong-kinh-doanh/803985.html
,40-300 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,Không yêu cầu kinh nghiệm,Hồ Chí Minh,,
Tuyển Nhân Viên Tư Vấn Khóa ( Lương Cứng 9 Triệu),Tới 40 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,Hà Nội,"Tư vấn,Kinh doanh / Bán hàng,Giáo dục / Đào tạo",https://www.topcv.vn/viec-lam/nhan-vien-tu-van-khoa-luong-cung-9-trieu/671228.html
"Tuyển Nhân Viên Kinh Doanh Dự Án (12 - 15 Triệu) - Không Áp Doanh Số, Phúc Lợi Tốt",12-15 triệu,Toàn thời gian,Nhân viên,Nữ,Không yêu cầu kinh nghiệm,Hà Nội,"Kinh doanh / Bán hàng,Dịch vụ khách hàng,Tư vấn",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-du-an-12-15-trieu-khong-ap-doanh-so-phuc-loi-tot/811063.html
Tuyển Trưởng Nhóm Quan Hệ Khách Hàng,Trên 25 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,2 năm,Hồ Chí Minh,"Quản lý điều hành,Kinh doanh / Bán hàng,Tài chính / Đầu tư",https://www.topcv.vn/viec-lam/truong-nhom-quan-he-khach-hang/763834.html
Tuyển Nhân Viên Kinh Doanh Thị Trường Lương Từ 9 Đến 20 Triệu/ Tháng,Trên 9 triệu,Toàn thời gian,Nhân viên,Nam,1 năm,Hồ Chí Minh,"Kinh doanh / Bán hàng,Điện / Điện tử / Điện lạnh,Bán hàng kỹ thuật",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-thi-truong-luong-tu-9-den-20-trieu-thang/801130.html
Tuyển Nhân Viên Kinh Doanh (10 - 15 Triệu),10-15 triệu,Toàn thời gian,Trưởng nhóm,Không yêu cầu,1 năm,Hồ Chí Minh,"Kinh doanh / Bán hàng,Dịch vụ khách hàng,Công nghệ thông tin",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-10-15-trieu/811979.html
Tuyển Biên Kịch Nội Dung Lương Cứng Upto 15Tr,9-15 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,Dưới 1 năm,Hà Nội,"Marketing / Truyền thông / Quảng cáo,Báo chí / Truyền hình",https://www.topcv.vn/viec-lam/bien-kich-noi-dung-luong-cung-upto-15tr/792681.html
Tuyển Nhân Viên Kế Toán,12-15 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,2 năm,Hồ Chí Minh,"Kế toán / Kiểm toán,Hành chính / Văn phòng,Xây dựng",https://www.topcv.vn/viec-lam/nhan-vien-ke-toan/810561.html
,12-36 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,Dưới 1 năm,Hồ Chí Minh,,
Tuyển Chuyên Viên Phát Triển Kinh Doanh Số,12-18 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,Hà Nội,"Ngân hàng / Tài chính,Kinh doanh / Bán hàng,Tài chính / Đầu tư",https://www.topcv.vn/viec-lam/chuyen-vien-phat-trien-kinh-doanh-so/809337.html
Tuyển Nhân Viên Content Marketing,Thoả thuận,Toàn thời gian,Nhân viên,Không yêu cầu,Không yêu cầu kinh nghiệm,Hải Dương,"Marketing / Truyền thông / Quảng cáo,Cơ khí / Chế tạo / Tự động hóa,Công nghệ thông tin",https://www.topcv.vn/viec-lam/nhan-vien-content-marketing/801252.html
Tuyển Nhân Viên Kinh Doanh (Khởi Đầu Từ 10 Triệu/Tháng) - Cơ Hội Thăng Tiến Trưởng Vùng,Trên 10 triệu,Toàn thời gian,Nhân viên,Nam,Dưới 1 năm,Tây Ninh,"Kinh doanh / Bán hàng,Dịch vụ khách hàng,Tư vấn",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-khoi-dau-tu-10-trieu-thang-co-hoi-thang-tien-truong-vung/803275.html
Tuyển Nhân Viên Tư Vấn - Thu Nhập Trung Bình Từ 12 Triệu Trở Lên,5-10 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,Dưới 1 năm,Hồ Chí Minh,"Kinh doanh / Bán hàng,Dịch vụ khách hàng,Hành chính / Văn phòng",https://www.topcv.vn/viec-lam/nhan-vien-tu-van-thu-nhap-trung-binh-tu-12-trieu-tro-len/223734.html
,"Tới 3,000 USD",Toàn thời gian,Trưởng nhóm,Không yêu cầu,5 năm,Hà Nội,,
Tuyển Chuyên Viên Kế Toán Tổng Hợp,Thoả thuận,Toàn thời gian,Nhân viên,Không yêu cầu,2 năm,Hồ Chí Minh,"Kế toán / Kiểm toán,Hành chính / Văn phòng,Ngân hàng / Tài chính",https://www.topcv.vn/viec-lam/chuyen-vien-ke-toan-tong-hop/801420.html
Tuyển Tư Vấn Giáo Dục - Educational Consultant ( Lương Tb: 15-20 Triệu/Tháng),6-20 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,Không yêu cầu kinh nghiệm,Hà Nội,"Kinh doanh / Bán hàng,Giáo dục / Đào tạo,Tư vấn",https://www.topcv.vn/viec-lam/tu-van-giao-duc-educational-consultant-luong-tb-15-20-trieu-thang/511163.html
Tuyển Nhân Viên Tư Vấn Kinh Doanh - Immigration Consultant,10-40 triệu,Toàn thời gian,Nhân viên,Nữ,Không yêu cầu kinh nghiệm,Hồ Chí Minh,"Kinh doanh / Bán hàng,Giáo dục / Đào tạo,Tài chính / Đầu tư",https://www.topcv.vn/viec-lam/nhan-vien-tu-van-kinh-doanh-immigration-consultant/775341.html
,15-35 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,Hà Nội,,
Tuyển Nhân Viên Thiết Kế Thời Trang,9-22 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,Dưới 1 năm,Hà Nội,"Thời trang,Mỹ thuật / Nghệ thuật / Điện ảnh,Thiết kế đồ họa",https://www.topcv.vn/viec-lam/nhan-vien-thiet-ke-thoi-trang/796313.html
