title,salary,hinhthuc,capbac,gender,ex,add,keyword,link
Tuyển Nhân Viên Thiết Kế Đồ Họa/ Graphic Designer (Lương Cứng Từ 10 - 15 Triệu + Thưởng) - Tại Hà Đông - Hà Nội,Tới 18 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,2 năm,Hà Nội,"Thiết kế đồ họa,Marketing / Truyền thông / Quảng cáo",https://www.topcv.vn/viec-lam/nhan-vien-thiet-ke-do-hoa-graphic-designer-luong-cung-tu-10-15-trieu-thuong-tai-ha-dong-ha-noi/705533.html
Tuyển Customer Support - Admin App (Hỗ Trợ Tài Khoản Người Dùng App) Lương Từ 10 -16 Triệu,10-16 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,Dưới 1 năm,Hà Nội,"Dịch vụ khách hàng,IT phần mềm,Công nghệ thông tin,Việc làm IT",https://www.topcv.vn/viec-lam/customer-support-admin-app-ho-tro-tai-khoan-nguoi-dung-app-luong-tu-10-16-trieu/802648.html
Tuyển Nhân Viên Kinh Doanh Thu Nhập Hấp Dẫn 10-20 Triệu,10-20 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,Hồ Chí Minh,"Kinh doanh / Bán hàng,Marketing / Truyền thông / Quảng cáo,Bán lẻ / bán sỉ",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-thu-nhap-hap-dan-10-20-trieu/812188.html
Tuyển Nhân Viên Hỗ Trợ Kinh Doanh Thương Mại Điện Tử ( Sales Admin),7-8 triệu,Toàn thời gian,Nhân viên,Nữ,Không yêu cầu kinh nghiệm,Hà Nội,"Kinh doanh / Bán hàng,Dịch vụ khách hàng,Kế toán / Kiểm toán",https://www.topcv.vn/viec-lam/nhan-vien-ho-tro-kinh-doanh-thuong-mai-dien-tu-sales-admin/528481.html
Tuyển Nhân Viên Kinh Doanh (Lương Cứng Đến 12 Triệu + Hoa Hồng 3%/ Sản Phẩm) Tại Long Hải - Bà Rịa Vũng Tàu,Trên 10 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,Không yêu cầu kinh nghiệm,Vũng Tàu,"Bất động sản,Kinh doanh / Bán hàng,Marketing / Truyền thông / Quảng cáo",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-luong-cung-den-12-trieu-hoa-hong-3-san-pham-tai-long-hai-ba-ria-vung-tau/810893.html
Tuyển Nhân Viên Kế Toán Nội Bộ,Trên 8 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,Dưới 1 năm,Hồ Chí Minh,"Kế toán / Kiểm toán,Hành chính / Văn phòng",https://www.topcv.vn/viec-lam/nhan-vien-ke-toan-noi-bo/809017.html
Tuyển Trưởng Nhóm Marketing,Tới 25 triệu,Toàn thời gian,Trưởng nhóm,Không yêu cầu,2 năm,Hồ Chí Minh,"Marketing / Truyền thông / Quảng cáo,Kinh doanh / Bán hàng,Báo chí / Truyền hình",https://www.topcv.vn/viec-lam/truong-nhom-marketing/756238.html
Tuyển Sales Logistics Không Kinh Nghiệm,12-25 triệu,Toàn thời gian,Nhân viên,Không yêu cầu,Không yêu cầu kinh nghiệm,Hồ Chí Minh,"Kinh doanh / Bán hàng,Dịch vụ khách hàng,Tư vấn",https://www.topcv.vn/viec-lam/sales-logistics-khong-kinh-nghiem/807087.html
,Thoả thuận,Toàn thời gian,Nhân viên,Không yêu cầu,3 năm,Hà Nội,,
Tuyển Chuyên Viên Chính Quản Lý Chất Lượng Tín Dụng Khách Hàng Doanh Nghiệp,Thoả thuận,Toàn thời gian,Nhân viên,Không yêu cầu,3 năm,Hồ Chí Minh,Ngân hàng / Tài chính,https://www.topcv.vn/viec-lam/chuyen-vien-chinh-quan-ly-chat-luong-tin-dung-khach-hang-doanh-nghiep/810345.html
